,STATE/UT,MURDER,RAPE,ROBBERY,RIOTS,StateLabel,Time
0,ANDHRA PRADESH,101,100,41,18,1,20
1,ANDHRA PRADESH,151,46,16,8,1,1
2,ANDHRA PRADESH,101,54,14,16,1,4
3,ANDHRA PRADESH,80,40,4,4,1,0
4,ANDHRA PRADESH,82,46,25,10,1,4
5,ANDHRA PRADESH,3,0,2,1,1,1
6,ANDHRA PRADESH,182,108,59,4,1,6
7,ANDHRA PRADESH,111,74,67,5,1,21
8,ANDHRA PRADESH,162,112,50,0,1,4
9,ANDHRA PRADESH,93,94,13,13,1,23
10,ANDHRA PRADESH,65,74,15,10,1,21
11,ANDHRA PRADESH,133,58,22,4,1,3
12,ANDHRA PRADESH,157,118,27,17,1,23
13,ANDHRA PRADESH,101,70,26,0,1,1
14,ANDHRA PRADESH,122,70,28,0,1,4
15,ANDHRA PRADESH,89,92,16,17,1,24
16,ANDHRA PRADESH,106,42,22,11,1,24
17,ANDHRA PRADESH,102,38,14,18,1,6
18,ANDHRA PRADESH,214,144,78,5,1,3
19,ANDHRA PRADESH,6,0,10,1,1,20
20,ANDHRA PRADESH,38,16,4,10,1,21
21,ANDHRA PRADESH,53,50,27,19,1,4
22,ANDHRA PRADESH,2,2,1,1,1,5
23,ANDHRA PRADESH,58,24,3,18,1,22
24,ANDHRA PRADESH,22,26,5,9,1,22
25,ANDHRA PRADESH,33,16,2,16,1,5
26,ANDHRA PRADESH,158,106,23,10,1,2
27,ANDHRA PRADESH,77,122,15,16,1,23
28,ANDHRA PRADESH,2602,1742,229,1,1,5
29,ARUNACHAL PRADESH,11,2,4,0,2,23
30,ARUNACHAL PRADESH,3,4,5,0,2,2
31,ARUNACHAL PRADESH,3,4,6,0,2,6
32,ARUNACHAL PRADESH,4,0,0,0,2,5
33,ARUNACHAL PRADESH,16,4,8,3,2,0
34,ARUNACHAL PRADESH,11,18,29,9,2,5
35,ARUNACHAL PRADESH,7,10,8,1,2,23
36,ARUNACHAL PRADESH,1,4,0,1,2,24
37,ARUNACHAL PRADESH,5,8,10,2,2,0
38,ARUNACHAL PRADESH,8,4,7,5,2,24
39,ARUNACHAL PRADESH,4,4,5,2,2,4
40,ARUNACHAL PRADESH,2,2,0,0,2,5
41,ARUNACHAL PRADESH,8,2,2,1,2,20
42,ARUNACHAL PRADESH,83,66,84,4,2,22
43,ASSAM,64,56,45,16,3,0
44,ASSAM,45,40,25,7,3,21
45,ASSAM,0,0,0,0,3,24
46,ASSAM,52,90,42,13,3,4
47,ASSAM,61,96,29,0,3,21
48,ASSAM,15,84,12,13,3,3
49,ASSAM,65,86,19,2,3,20
50,ASSAM,110,70,29,1,3,20
51,ASSAM,13,2,16,9,3,22
52,ASSAM,28,70,13,9,3,22
53,ASSAM,53,60,27,6,3,2
54,ASSAM,71,74,73,11,3,0
55,ASSAM,18,48,8,0,3,5
56,ASSAM,40,84,27,10,3,22
57,ASSAM,37,42,41,15,3,5
58,ASSAM,65,10,33,10,3,6
59,ASSAM,32,66,5,11,3,5
60,ASSAM,87,28,10,10,3,23
61,ASSAM,26,128,47,6,3,2
62,ASSAM,20,46,10,19,3,0
63,ASSAM,17,4,5,4,3,3
64,ASSAM,95,102,33,7,3,22
65,ASSAM,79,60,39,4,3,4
66,ASSAM,11,6,2,13,3,5
67,ASSAM,59,94,41,10,3,23
68,ASSAM,86,106,21,5,3,4
69,ASSAM,107,82,35,2,3,20
70,ASSAM,1356,1634,287,13,3,3
71,BIHAR,47,186,43,15,4,1
72,BIHAR,37,0,8,16,4,23
73,BIHAR,74,32,28,15,4,3
74,BIHAR,34,50,9,7,4,1
75,BIHAR,93,68,39,16,4,3
76,BIHAR,124,26,67,7,4,23
77,BIHAR,66,40,32,0,4,0
78,BIHAR,41,20,26,6,4,1
79,BIHAR,128,70,55,11,4,22
80,BIHAR,135,44,49,0,4,22
81,BIHAR,56,16,34,9,4,1
82,BIHAR,53,38,37,2,4,4
83,BIHAR,200,50,114,17,4,21
84,BIHAR,107,26,73,7,4,3
85,BIHAR,7,2,13,0,4,21
86,BIHAR,67,20,14,14,4,24
87,BIHAR,73,12,22,10,4,4
88,BIHAR,60,102,30,13,4,5
89,BIHAR,7,0,19,9,4,4
90,BIHAR,72,10,29,7,4,1
91,BIHAR,25,44,10,16,4,23
92,BIHAR,61,20,13,13,4,1
93,BIHAR,56,22,31,17,4,2
94,BIHAR,35,26,17,15,4,5
95,BIHAR,114,88,79,5,4,2
96,BIHAR,51,22,29,18,4,2
97,BIHAR,153,146,135,1,4,22
98,BIHAR,13,4,15,13,4,2
99,BIHAR,208,80,97,18,4,3
100,BIHAR,36,14,18,16,4,6
101,BIHAR,77,30,31,3,4,1
102,BIHAR,434,54,14,6,4,6
103,BIHAR,24,2,21,11,4,2
104,BIHAR,104,78,97,9,4,4
105,BIHAR,127,50,68,11,4,2
106,BIHAR,36,24,15,16,4,2
107,BIHAR,107,38,61,12,4,6
108,BIHAR,137,40,93,9,4,0
109,BIHAR,28,6,12,16,4,23
110,BIHAR,18,22,8,18,4,5
111,BIHAR,51,46,15,18,4,21
112,BIHAR,116,8,100,19,4,1
113,BIHAR,41,60,40,10,4,3
114,BIHAR,110,40,43,15,4,21
115,BIHAR,3643,1776,203,6,4,6
116,CHHATTISGARH,13,34,11,15,6,5
117,CHHATTISGARH,99,138,37,6,6,24
118,CHHATTISGARH,9,8,6,1,6,21
119,CHHATTISGARH,83,38,5,14,6,6
120,CHHATTISGARH,14,44,0,2,6,5
121,CHHATTISGARH,76,288,50,8,6,2
122,CHHATTISGARH,2,0,9,4,6,6
