,Unnamed: 0,STATE/UT,MURDER,RAPE,ROBBERY,RIOTS,StateLabel,Time
0,0,ANDHRA PRADESH,11,0,41,156,1,19
1,1,ANDHRA PRADESH,1,6,16,336,1,13
2,2,ANDHRA PRADESH,11,14,14,312,1,10
3,3,ANDHRA PRADESH,20,0,4,328,1,14
4,4,ANDHRA PRADESH,22,6,25,140,1,16
5,5,ANDHRA PRADESH,3,0,2,2,1,11
6,6,ANDHRA PRADESH,2,8,59,488,1,11
7,7,ANDHRA PRADESH,21,14,7,130,1,12
8,8,ANDHRA PRADESH,12,12,50,440,1,9
9,9,ANDHRA PRADESH,3,14,13,306,1,8
10,10,ANDHRA PRADESH,5,14,15,140,1,11
11,11,ANDHRA PRADESH,13,18,22,168,1,19
12,12,ANDHRA PRADESH,7,18,27,314,1,18
13,13,ANDHRA PRADESH,11,10,26,200,1,8
14,14,ANDHRA PRADESH,2,10,28,440,1,7
15,15,ANDHRA PRADESH,29,12,16,194,1,7
16,16,ANDHRA PRADESH,16,2,22,102,1,12
17,17,ANDHRA PRADESH,12,18,14,276,1,15
18,18,ANDHRA PRADESH,4,4,18,130,1,17
19,19,ANDHRA PRADESH,6,0,10,2,1,8
20,20,ANDHRA PRADESH,8,16,4,140,1,7
21,21,ANDHRA PRADESH,23,10,27,38,1,13
22,22,ANDHRA PRADESH,2,2,1,2,1,9
23,23,ANDHRA PRADESH,28,4,3,276,1,11
24,24,ANDHRA PRADESH,22,6,5,18,1,9
25,25,ANDHRA PRADESH,3,16,2,72,1,10
26,26,ANDHRA PRADESH,8,6,23,660,1,18
27,27,ANDHRA PRADESH,17,2,15,192,1,16
28,28,ANDHRA PRADESH,22,2,29,6002,1,7
29,29,ARUNACHAL PRADESH,11,2,4,0,2,7
30,30,ARUNACHAL PRADESH,3,4,5,0,2,10
31,31,ARUNACHAL PRADESH,3,4,6,0,2,16
32,32,ARUNACHAL PRADESH,4,0,0,0,2,8
33,33,ARUNACHAL PRADESH,16,4,8,6,2,19
34,34,ARUNACHAL PRADESH,11,18,29,18,2,7
35,35,ARUNACHAL PRADESH,7,10,8,2,2,15
36,36,ARUNACHAL PRADESH,1,4,0,2,2,18
37,37,ARUNACHAL PRADESH,5,8,10,4,2,15
38,38,ARUNACHAL PRADESH,8,4,7,10,2,12
39,39,ARUNACHAL PRADESH,4,4,5,4,2,8
40,40,ARUNACHAL PRADESH,2,2,0,0,2,8
41,41,ARUNACHAL PRADESH,8,2,2,2,2,11
42,42,ARUNACHAL PRADESH,23,6,24,48,2,15
43,43,ASSAM,4,16,45,392,3,12
44,44,ASSAM,15,0,25,174,3,13
45,45,ASSAM,0,0,0,0,3,18
46,46,ASSAM,22,10,42,1066,3,16
47,47,ASSAM,1,16,29,200,3,9
48,48,ASSAM,15,4,12,26,3,14
49,49,ASSAM,5,6,19,804,3,10
50,50,ASSAM,20,10,29,42,3,11
51,51,ASSAM,13,2,16,18,3,10
52,52,ASSAM,28,10,13,258,3,10
53,53,ASSAM,23,0,27,52,3,18
54,54,ASSAM,11,14,13,302,3,12
55,55,ASSAM,18,8,8,320,3,18
56,56,ASSAM,10,4,27,60,3,16
57,57,ASSAM,7,2,41,110,3,10
58,58,ASSAM,5,10,33,180,3,17
59,59,ASSAM,2,6,5,542,3,9
60,60,ASSAM,27,8,10,100,3,19
61,61,ASSAM,26,8,47,212,3,11
62,62,ASSAM,20,6,10,158,3,7
63,63,ASSAM,17,4,5,8,3,18
64,64,ASSAM,5,2,33,534,3,8
65,65,ASSAM,19,0,39,8,3,8
