,STATE/UT,MURDER,RAPE,ROBBERY,RIOTS,StateLabel,Time
0,ANDHRA PRADESH,101,100,41,78,1,24
1,ANDHRA PRADESH,151,46,16,168,1,22
2,ANDHRA PRADESH,101,54,14,156,1,21
3,ANDHRA PRADESH,80,40,4,164,1,21
4,ANDHRA PRADESH,82,46,25,70,1,24
5,ANDHRA PRADESH,3,0,2,1,1,20
6,ANDHRA PRADESH,182,108,59,244,1,20
7,ANDHRA PRADESH,111,74,67,65,1,21
8,ANDHRA PRADESH,162,112,50,220,1,4
9,ANDHRA PRADESH,93,94,13,153,1,6
10,ANDHRA PRADESH,65,74,15,70,1,6
11,ANDHRA PRADESH,133,58,22,84,1,23
12,ANDHRA PRADESH,157,118,27,157,1,23
13,ANDHRA PRADESH,101,70,26,100,1,20
14,ANDHRA PRADESH,122,70,28,220,1,1
15,ANDHRA PRADESH,89,92,16,97,1,21
16,ANDHRA PRADESH,106,42,22,51,1,2
17,ANDHRA PRADESH,102,38,14,138,1,4
18,ANDHRA PRADESH,214,144,78,65,1,1
19,ANDHRA PRADESH,6,0,10,1,1,0
20,ANDHRA PRADESH,38,16,4,70,1,24
21,ANDHRA PRADESH,53,50,27,19,1,24
22,ANDHRA PRADESH,2,2,1,1,1,22
23,ANDHRA PRADESH,58,24,3,138,1,21
24,ANDHRA PRADESH,22,26,5,9,1,2
25,ANDHRA PRADESH,33,16,2,36,1,2
26,ANDHRA PRADESH,158,106,23,330,1,2
27,ANDHRA PRADESH,77,122,15,96,1,20
28,ANDHRA PRADESH,2602,1742,629,3001,1,1
29,ARUNACHAL PRADESH,11,2,4,0,2,5
30,ARUNACHAL PRADESH,3,4,5,0,2,6
31,ARUNACHAL PRADESH,3,4,6,0,2,1
32,ARUNACHAL PRADESH,4,0,0,0,2,20
33,ARUNACHAL PRADESH,16,4,8,3,2,4
34,ARUNACHAL PRADESH,11,18,29,9,2,24
35,ARUNACHAL PRADESH,7,10,8,1,2,21
36,ARUNACHAL PRADESH,1,4,0,1,2,3
37,ARUNACHAL PRADESH,5,8,10,2,2,6
38,ARUNACHAL PRADESH,8,4,7,5,2,2
39,ARUNACHAL PRADESH,4,4,5,2,2,5
40,ARUNACHAL PRADESH,2,2,0,0,2,23
41,ARUNACHAL PRADESH,8,2,2,1,2,0
42,ARUNACHAL PRADESH,83,66,84,24,2,6
43,ASSAM,64,56,45,196,3,5
44,ASSAM,45,40,25,87,3,24
